time,activity,circumplex.arousal,circumplex.valence,mood,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,screen,sms
2014-04-08,0.1814892623716153,0.5,1.0,8.0,1963.8739999999998,5442.806999999996,,,162.551,348.15599999999995,223.067,1089.868,68.55099999999999,,,13.176,6.0,8058.661999702452,2.0
2014-04-09,0.10126488095238095,0.0,0.2,7.4,1737.8449999999993,3686.9540000000006,1061.494,,530.014,124.362,370.1,2130.7700000000004,131.47,,4.123,51.726000000000006,9.0,9829.376000642775,2.0
2014-04-10,0.14313397233893554,0.25,0.5,6.5,2422.841999999999,3068.87,23.124000000000002,,34.28,74.541,316.397,2080.86,94.007,,,21.103,,6600.758999347689,1.0
2014-04-11,0.15529914529914535,-0.25,0.5,7.75,11468.3,2590.2759999999994,,,40.733000000000004,1.025,68.435,3991.986,,,,,3.0,6472.98200058937,7.0
2014-04-12,0.04455739111590672,-0.2,0.6,7.0,920.293,270.10999999999996,,,,20.135,82.652,862.836,,,,,3.0,1214.8420004844672,1.0
2014-04-13,0.038610440461819405,-0.4,0.4,6.6,654.6440000000001,4003.094999999999,,,275.758,54.747,89.64100000000002,646.1659999999999,,,,53.660000000000004,4.0,5777.400000095364,
2014-04-14,0.09109605531851882,0.6,0.2,6.4,1398.8890000000006,5374.877,,,,,132.742,888.2510000000001,,,,7.031000000000001,8.0,7802.634999036789,
2014-04-15,0.08074791762574517,-0.25,0.0,6.5,1238.695,2643.345,,,,,215.80599999999995,248.51000000000002,86.227,,,33.173,2.0,4465.848001956941,1.0
2014-04-16,0.10531602561905302,0.2,0.6,7.2,1166.3680000000004,5329.130000000002,60.43899999999999,,,164.333,283.215,519.0,22.274,,,5.033,6.0,7550.633999586105,3.0
2014-04-17,0.12178447758220236,0.0,0.0,6.5,1823.5989999999997,9495.384999999997,,,,404.33200000000005,119.726,5640.388,185.435,,,,3.0,17583.15700149536,
2014-04-18,0.07372682037592555,-0.25,0.0,6.25,3726.789999999998,7995.140000000003,,,10.035,,228.33499999999998,606.1959999999999,157.3,,,,4.0,11757.935998916622,14.0
2014-04-19,0.15611230462327638,-0.75,0.0,7.5,627.5510000000002,3223.5600000000018,,,142.37400000000002,25.150000000000002,646.583,1435.349,,,,,6.0,6101.409001350405,
2014-04-20,0.02763157894736842,0.0,0.0,6.8,1530.1090000000002,3986.515,,,62.141,,126.13999999999999,244.9,37.179,,,52.599000000000004,3.0,6041.11500096321,
2014-04-21,0.09062499999999996,-0.4,0.8,7.4,1965.809,3506.8829999999994,,,327.173,,190.28400000000002,2952.833,710.2340000000002,,,51.55500000000001,6.0,9379.375999927523,10.0
2014-04-22,0.12770165179024576,0.25,1.0,8.25,5285.821000000001,5716.107999999999,,,18.07,90.801,227.81899999999996,277.755,45.257,,,,9.0,11491.93100047112,
2014-04-23,0.07593836088154272,-0.5,0.0,6.5,1844.4720000000007,4852.758000000001,,,,62.699,141.41799999999998,1772.1229999999998,,,,9.127,4.0,8629.494999408722,4.0
2014-04-24,0.08576388888888888,-1.2,0.0,6.0,2421.522,7469.537000000002,,,125.65400000000001,,122.70500000000001,664.874,629.148,,,41.297,7.0,9902.590000629423,
2014-04-25,0.055208333333333325,-0.25,-0.25,6.25,1773.2869999999996,3768.166999999999,1186.037,,1137.587,2.012,96.91000000000001,86.34899999999999,,,,89.212,2.0,7663.566999435428,
2014-04-26,0.17103565997282577,0.5,1.0,7.0,1286.2660000000003,3882.575,,,,,64.717,2552.732,,,,,6.0,7433.59100008011,
2014-04-27,0.02219573355936993,0.0,0.8,7.4,496.57199999999995,2359.353999999999,,187.268,245.61199999999997,10.158999999999999,103.794,,,50.439,,,1.0,3357.7690005302425,
2014-04-28,0.12131769374416436,0.0,0.4,7.2,2788.6469999999995,9636.670000000007,312.591,,550.979,2.0069999999999997,473.03800000000007,4.081,45.408,,,28.181,12.0,13320.088998556137,4.0
2014-04-29,0.0829631542699724,-1.2,-0.6,6.0,2111.7290000000007,7283.239000000001,690.371,,436.248,,289.26700000000005,625.513,14.915999999999999,,,17.795,10.0,10994.99999952316,10.0
2014-04-30,0.10852951516948042,0.8,-0.4,6.2,8460.894000000002,7636.273999999998,283.01300000000003,,,,250.05599999999995,,143.37,,,5.067,5.0,13423.611998796465,2.0
2014-05-01,0.08712270720960565,-1.0,0.4,7.0,1981.5770000000002,6950.956000000002,,,,178.414,248.20800000000003,2177.511,208.069,,,15.079,20.0,11765.46499872208,
2014-05-02,0.13760964912280704,-0.75,0.0,6.5,2008.4419999999996,4310.322000000001,,,171.17,9.071,163.991,263.197,388.27299999999997,,,,11.0,6310.169000387192,2.0
2014-05-03,0.05925925925925921,-0.25,0.0,6.4,3895.427999999999,4909.918000000001,338.399,31.148000000000003,78.087,,115.803,2120.875,,,,,3.0,11465.776000022892,
2014-05-04,0.10376953970214159,1.0,0.6,7.2,1206.3260000000002,3203.4250000000006,2715.551,,978.279,,266.04999999999995,,1343.8169999999998,,,41.287,3.0,8047.489998102188,1.0
2014-05-05,0.07168479421153216,-1.0,0.0,6.666666666666667,1496.49,5100.8120000000035,,,197.199,276.685,36.412,141.978,,,,16.079,9.0,7311.23100042343,
2014-05-06,0.08124713039485765,,,,1489.3330000000003,6236.371999999999,1379.271,,829.67,101.564,517.403,1093.4360000000001,113.982,2403.1340000000005,,52.233999999999995,,14170.805999994287,
2014-05-07,0.07011424986542546,-0.4,0.0,6.8,1179.974,5419.953,1113.1229999999998,40.457,1922.369,7.066,228.98600000000002,,,,,6.024,,9918.56699943542,1.0
2014-05-08,0.052083333333333294,0.0,0.5,7.0,822.1009999999998,1095.0979999999997,174.54100000000003,,376.454,,126.869,518.437,103.71300000000001,,,13.110999999999999,,2924.585999250413,
